 Long   Lat    Vpn    Ani    Direc  
 78.75  20.75  8.174  0.119   11.9
 79.25  20.75  8.163  0.131   16.8
 79.75  20.75  8.148  0.138   21.0
 80.25  20.75  8.124  0.140   24.1
 80.75  20.75  8.102  0.131   28.0
 81.25  20.75  8.091  0.107   33.6
 81.75  20.75  8.093  0.075   44.8
 82.25  20.75  8.108  0.060   67.8
 82.75  20.75  8.125  0.077   87.4
 83.25  20.75  8.133  0.089   97.4
 83.75  20.75  8.125  0.077  106.8
 84.25  20.75  8.109  0.059  123.2
 84.75  20.75  8.097  0.059  143.2
 85.25  20.75  8.103  0.061  152.4
 85.75  20.75  8.128  0.048  151.5
 86.25  20.75  8.146  0.027  150.5
 86.75  20.75  8.163  0.008   82.0
 87.25  20.75  8.177  0.047   70.2
 87.75  20.75  8.187  0.086   70.5
 88.25  20.75  8.189  0.109   71.1
 88.75  20.75  8.180  0.110   71.8
 89.25  20.75  8.162  0.089   72.8
 89.75  20.75  8.142  0.049   71.8
 90.25  20.75  8.128  0.015   17.2
 90.75  20.75  8.116  0.075  176.2
 91.25  20.75  8.107  0.134  174.9
 91.75  20.75  8.102  0.172  174.7
 92.25  20.75  8.095  0.166  175.8
 92.75  20.75  8.070  0.119    0.2
 93.25  20.75  8.016  0.070   19.3
 93.75  20.75  7.946  0.092   49.0
 94.25  20.75  7.876  0.134   57.4
 94.75  20.75  7.842  0.130   63.2
 95.25  20.75  7.828  0.070   69.0
 95.75  20.75  7.842  0.049  135.9
 96.25  20.75  7.873  0.169  145.2
 96.75  20.75  7.903  0.276  146.5
 97.25  20.75  7.916  0.346  147.4
 97.75  20.75  7.898  0.364  149.0
 98.25  20.75  7.866  0.326  150.5
 98.75  20.75  7.835  0.238  152.3
 99.25  20.75  7.821  0.147  155.6
 99.75  20.75  7.787  0.141  165.9
100.25  20.75  7.829  0.147  171.2
100.75  20.75  7.905  0.157    0.3
101.25  20.75  7.980  0.171    7.5
101.75  20.75  8.042  0.169   12.1
102.25  20.75  8.083  0.165   15.1
102.75  20.75  8.094  0.163   14.8
103.25  20.75  8.086  0.137   10.2
103.75  20.75  8.077  0.107  178.4
104.25  20.75  8.065  0.108  165.4
104.75  20.75  8.040  0.120  159.6
105.25  20.75  8.000  0.120  159.2
105.75  20.75  7.970  0.103  158.6
106.25  20.75  7.964  0.078  154.6
106.75  20.75  7.990  0.067  140.1
107.25  20.75  8.047  0.092  127.5
107.75  20.75  8.119  0.132  123.7
108.25  20.75  8.192  0.167  124.3
108.75  20.75  8.228  0.179  126.0
109.25  20.75  8.225  0.162  127.4
109.75  20.75  8.189  0.118  130.0
 38.25  21.25  8.096  0.008  166.6
 38.75  21.25  8.088  0.016  172.8
 39.25  21.25  8.079  0.024  177.4
 39.75  21.25  8.080  0.022    0.4
 42.25  21.25  8.097  0.003    3.2
 42.75  21.25  8.098  0.002    4.4
 43.75  21.25  8.102  0.008    9.4
 44.25  21.25  8.113  0.018   17.0
 44.75  21.25  8.128  0.030   21.8
