 Long   Lat    Vpn    Ani    Direc  
 17.75  29.25  8.118  0.016    1.7
 18.25  29.25  8.113  0.019  175.2
 18.75  29.25  8.111  0.018  177.1
 19.25  29.25  8.106  0.011    0.5
 21.25  29.25  8.106  0.009   17.8
 21.75  29.25  8.111  0.012   21.8
 22.25  29.25  8.111  0.009   24.3
 24.75  29.25  8.126  0.008   54.1
 25.25  29.25  8.135  0.011   64.8
 25.75  29.25  8.135  0.013   81.8
 26.25  29.25  8.133  0.023   98.8
 26.75  29.25  8.129  0.032  107.4
 27.25  29.25  8.122  0.036  111.4
 27.75  29.25  8.121  0.040  114.3
 28.25  29.25  8.115  0.040  115.1
 28.75  29.25  8.108  0.040  114.0
 29.25  29.25  8.104  0.037  107.6
 29.75  29.25  8.105  0.039  100.1
 30.25  29.25  8.101  0.041   92.3
 30.75  29.25  8.072  0.031   87.3
 31.25  29.25  8.035  0.019   83.6
 31.75  29.25  7.994  0.007   50.6
 32.25  29.25  7.987  0.012   78.9
 32.75  29.25  7.982  0.036   85.3
 33.25  29.25  7.961  0.052   89.0
 33.75  29.25  7.938  0.053  100.7
 34.25  29.25  7.923  0.049  117.0
 34.75  29.25  7.872  0.018  178.8
 35.25  29.25  7.872  0.041   40.5
 35.75  29.25  7.908  0.065   64.8
 36.25  29.25  7.958  0.087   78.2
 36.75  29.25  7.991  0.086   83.2
 37.25  29.25  8.018  0.069   85.7
 37.75  29.25  8.030  0.035   77.9
 38.25  29.25  8.034  0.030   34.5
 38.75  29.25  8.037  0.068   22.8
 39.25  29.25  8.049  0.100   21.9
 39.75  29.25  8.070  0.114   23.6
 40.25  29.25  8.106  0.109   26.7
 40.75  29.25  8.148  0.090   31.7
 41.25  29.25  8.184  0.072   38.5
 41.75  29.25  8.204  0.065   41.8
 42.25  29.25  8.217  0.066   39.7
 42.75  29.25  8.220  0.073   28.2
 43.25  29.25  8.221  0.097   18.2
 43.75  29.25  8.217  0.131   12.3
 44.25  29.25  8.206  0.175    9.3
 44.75  29.25  8.203  0.208    8.4
 45.25  29.25  8.212  0.221    9.6
 45.75  29.25  8.222  0.210   11.5
 46.25  29.25  8.208  0.189   11.9
 46.75  29.25  8.161  0.163   10.5
 47.25  29.25  8.050  0.159    1.4
 47.75  29.25  7.959  0.143  168.6
 48.25  29.25  7.921  0.141  150.3
 48.75  29.25  7.936  0.167  135.6
 49.25  29.25  7.984  0.191  128.4
 49.75  29.25  8.048  0.183  123.2
 50.25  29.25  8.070  0.121  121.6
 50.75  29.25  8.091  0.025  120.2
 51.25  29.25  8.159  0.086   37.4
 51.75  29.25  8.272  0.089   31.0
 52.25  29.25  8.236  0.070   25.5
 52.75  29.25  8.199  0.089  138.2
 53.25  29.25  8.153  0.213  137.8
 53.75  29.25  8.082  0.139  145.0
 54.25  29.25  8.082  0.066  171.5
 54.75  29.25  8.110  0.120   25.2
 55.25  29.25  8.096  0.184   25.0
 55.75  29.25  8.063  0.144    7.2
 56.25  29.25  7.987  0.145  156.1
 56.75  29.25  7.734  0.213  148.2
 57.25  29.25  7.651  0.098  163.1
 57.75  29.25  7.702  0.116   23.5
 58.25  29.25  7.962  0.059   14.2
 58.75  29.25  8.108  0.081  166.9
 59.25  29.25  8.179  0.099  164.3
 59.75  29.25  8.153  0.120  158.4
 60.25  29.25  8.129  0.123  147.4
 60.75  29.25  8.144  0.108  130.9
 61.25  29.25  8.143  0.095  115.3
 61.75  29.25  8.127  0.089   98.3
 62.25  29.25  8.102  0.097   83.0
 62.75  29.25  8.073  0.100   70.3
 63.25  29.25  8.059  0.097   56.7
 63.75  29.25  8.070  0.100   40.8
 64.25  29.25  8.095  0.129   27.7
 64.75  29.25  8.122  0.178   22.9
 65.25  29.25  8.137  0.213   22.6
 65.75  29.25  8.152  0.216   24.6
 66.25  29.25  8.179  0.192   29.6
 66.75  29.25  8.203  0.159   36.2
 67.25  29.25  8.217  0.114   41.6
 67.75  29.25  8.215  0.063   45.3
 68.25  29.25  8.230  0.022   53.8
 68.75  29.25  8.235  0.041  138.9
 69.25  29.25  8.237  0.120  141.3
 69.75  29.25  8.238  0.173  140.9
 70.25  29.25  8.219  0.188  140.6
 70.75  29.25  8.228  0.188  138.7
 71.25  29.25  8.210  0.179  141.2
 71.75  29.25  8.146  0.171  148.6
 72.25  29.25  8.142  0.145  149.7
 72.75  29.25  8.185  0.098  142.6
 73.25  29.25  8.209  0.058  130.0
 73.75  29.25  8.187  0.047  123.2
 74.25  29.25  8.183  0.058  117.9
 74.75  29.25  8.182  0.058  120.4
 75.25  29.25  8.206  0.013  111.0
 75.75  29.25  8.270  0.048   47.8
 76.25  29.25  8.281  0.083   39.4
 76.75  29.25  8.248  0.099   32.4
 77.25  29.25  8.294  0.049   48.2
 77.75  29.25  8.260  0.004   68.9
 78.25  29.25  8.235  0.040  120.2
 78.75  29.25  8.267  0.055  114.1
 79.25  29.25  8.327  0.050  119.3
 79.75  29.25  8.381  0.056  125.2
 80.25  29.25  8.378  0.056  108.8
 80.75  29.25  8.335  0.107   78.8
 81.25  29.25  8.337  0.195   75.1
 81.75  29.25  8.350  0.264   78.4
 82.25  29.25  8.362  0.293   81.5
 82.75  29.25  8.361  0.273   82.4
 83.25  29.25  8.340  0.208   83.1
 83.75  29.25  8.312  0.128   82.5
 84.25  29.25  8.266  0.055   89.1
 84.75  29.25  8.239  0.050  122.5
 85.25  29.25  8.236  0.098  129.2
 85.75  29.25  8.227  0.118  127.6
 86.25  29.25  8.240  0.094  120.1
 86.75  29.25  8.273  0.059  104.8
 87.25  29.25  8.318  0.039   79.5
 87.75  29.25  8.349  0.018   55.0
 88.25  29.25  8.360  0.034    0.6
 88.75  29.25  8.341  0.062  166.9
 89.25  29.25  8.290  0.088  158.5
 89.75  29.25  8.248  0.085  155.1
 90.25  29.25  8.214  0.068  157.8
 90.75  29.25  8.149  0.073  166.9
 91.25  29.25  8.104  0.072  177.9
 91.75  29.25  8.112  0.059   19.5
 92.25  29.25  8.117  0.088   26.1
 92.75  29.25  8.145  0.107   24.4
 93.25  29.25  8.196  0.111   19.0
 93.75  29.25  8.253  0.099   10.3
 94.25  29.25  8.301  0.086  174.7
 94.75  29.25  8.328  0.086  156.5
 95.25  29.25  8.311  0.086  142.5
 95.75  29.25  8.249  0.097  135.3
 96.25  29.25  8.190  0.121  129.9
 96.75  29.25  8.147  0.141  125.1
 97.25  29.25  8.125  0.147  120.6
 97.75  29.25  8.109  0.119  117.2
 98.25  29.25  8.103  0.074  115.4
 98.75  29.25  8.128  0.048  123.3
 99.25  29.25  8.182  0.047  147.9
 99.75  29.25  8.229  0.075  158.0
100.25  29.25  8.197  0.102  161.1
100.75  29.25  8.090  0.113  155.7
101.25  29.25  7.942  0.107  141.4
101.75  29.25  7.805  0.121  132.4
102.25  29.25  7.751  0.108  134.0
102.75  29.25  7.824  0.065  139.6
103.25  29.25  7.990  0.046  164.5
103.75  29.25  8.163  0.095  175.9
104.25  29.25  8.256  0.158  179.0
104.75  29.25  8.284  0.188  175.9
105.25  29.25  8.249  0.210  170.5
105.75  29.25  8.192  0.205  163.3
106.25  29.25  8.190  0.160  154.1
106.75  29.25  8.203  0.102  143.2
107.25  29.25  8.211  0.058  116.5
107.75  29.25  8.213  0.092   89.1
108.25  29.25  8.214  0.148   78.6
108.75  29.25  8.198  0.193   73.8
109.25  29.25  8.150  0.202   72.4
109.75  29.25  8.085  0.175   71.3
 13.75  29.75  8.101  0.001   41.4
 14.25  29.75  8.102  0.002   24.6
 14.75  29.75  8.104  0.006   17.8
 16.25  29.75  8.117  0.022    7.6
 16.75  29.75  8.127  0.029    9.7
 17.25  29.75  8.131  0.027   11.2
 17.75  29.75  8.129  0.023    9.4
 18.25  29.75  8.121  0.022    2.1
 18.75  29.75  8.115  0.023    0.5
 19.25  29.75  8.113  0.021    3.5
 19.75  29.75  8.111  0.016    6.7
 20.25  29.75  8.109  0.012    9.4
 21.25  29.75  8.109  0.020   15.9
 21.75  29.75  8.118  0.022   20.1
 22.25  29.75  8.121  0.019   24.6
 22.75  29.75  8.115  0.014   27.5
 24.25  29.75  8.137  0.013   37.0
 24.75  29.75  8.161  0.017   45.2
 25.25  29.75  8.169  0.015   58.4
 25.75  29.75  8.165  0.015   80.9
 26.25  29.75  8.158  0.028  105.2
 26.75  29.75  8.143  0.041  114.5
 27.25  29.75  8.136  0.055  120.7
 27.75  29.75  8.132  0.063  124.2
 28.25  29.75  8.124  0.061  123.3
 28.75  29.75  8.114  0.057  119.8
 29.25  29.75  8.109  0.055  114.1
 29.75  29.75  8.099  0.049  107.5
 30.25  29.75  8.085  0.043   96.6
 30.75  29.75  8.057  0.033   87.2
 31.25  29.75  8.023  0.022   78.7
 31.75  29.75  8.001  0.008  100.2
 32.25  29.75  7.993  0.018   90.8
 32.75  29.75  7.975  0.037   84.8
 33.25  29.75  7.969  0.063   89.2
 33.75  29.75  7.951  0.077   94.0
 34.25  29.75  7.900  0.049   85.9
 34.75  29.75  7.859  0.042   42.9
 35.25  29.75  7.895  0.090   53.8
 35.75  29.75  7.946  0.107   62.8
 36.25  29.75  7.991  0.097   72.2
 36.75  29.75  8.025  0.080   78.0
 37.25  29.75  8.051  0.051   78.7
 37.75  29.75  8.061  0.015   53.6
 38.25  29.75  8.064  0.042   10.0
 38.75  29.75  8.067  0.077    7.0
 39.25  29.75  8.073  0.097    7.8
 39.75  29.75  8.091  0.097    9.8
 40.25  29.75  8.127  0.082   13.0
 40.75  29.75  8.168  0.060   18.9
 41.25  29.75  8.201  0.050   28.3
 41.75  29.75  8.215  0.059   33.1
 42.25  29.75  8.227  0.066   33.1
 42.75  29.75  8.227  0.075   24.0
 43.25  29.75  8.222  0.097   14.9
 43.75  29.75  8.217  0.125    9.3
 44.25  29.75  8.200  0.161    5.1
 44.75  29.75  8.188  0.190    2.7
 45.25  29.75  8.189  0.199    1.5
 45.75  29.75  8.200  0.181    1.0
 46.25  29.75  8.177  0.162  178.3
 46.75  29.75  8.119  0.142  174.6
 47.25  29.75  8.012  0.148  168.7
 47.75  29.75  7.910  0.153  159.0
 48.25  29.75  7.878  0.171  144.9
 48.75  29.75  7.914  0.196  134.5
 49.25  29.75  7.986  0.204  128.4
 49.75  29.75  8.065  0.170  123.9
 50.25  29.75  8.107  0.098  120.3
 50.75  29.75  8.129  0.020  105.7
 51.25  29.75  8.190  0.024   45.7
 51.75  29.75  8.237  0.070   27.2
 52.25  29.75  8.161  0.104   31.0
 52.75  29.75  8.082  0.082  161.6
 53.25  29.75  8.035  0.220  142.3
 53.75  29.75  7.984  0.170  149.5
 54.25  29.75  8.045  0.116  169.6
 54.75  29.75  8.078  0.155   15.4
 55.25  29.75  8.058  0.179   14.3
 55.75  29.75  7.995  0.145  177.2
 56.25  29.75  7.855  0.172  163.8
 56.75  29.75  7.718  0.129  161.2
 57.25  29.75  7.671  0.066   17.1
 57.75  29.75  7.800  0.134   34.7
 58.25  29.75  7.988  0.121   34.1
 58.75  29.75  8.059  0.102   19.9
 59.25  29.75  8.118  0.086   11.1
 59.75  29.75  8.136  0.094  168.5
 60.25  29.75  8.149  0.104  151.6
 60.75  29.75  8.158  0.086  135.0
 61.25  29.75  8.141  0.067  116.0
 61.75  29.75  8.098  0.067   93.6
 62.25  29.75  8.058  0.086   77.7
 62.75  29.75  8.031  0.098   65.9
 63.25  29.75  8.022  0.100   55.6
 63.75  29.75  8.023  0.108   44.8
 64.25  29.75  8.036  0.136   36.0
 64.75  29.75  8.061  0.184   32.5
 65.25  29.75  8.098  0.222   33.2
 65.75  29.75  8.139  0.227   36.9
 66.25  29.75  8.163  0.209   44.1
 66.75  29.75  8.187  0.182   52.2
 67.25  29.75  8.213  0.138   58.3
 67.75  29.75  8.221  0.083   61.5
 68.25  29.75  8.219  0.034   78.7
 68.75  29.75  8.223  0.044  128.2
 69.25  29.75  8.230  0.124  141.3
 69.75  29.75  8.249  0.197  142.5
 70.25  29.75  8.254  0.227  142.6
 70.75  29.75  8.278  0.217  141.1
 71.25  29.75  8.269  0.179  142.9
 71.75  29.75  8.226  0.159  147.6
 72.25  29.75  8.207  0.137  147.2
 72.75  29.75  8.224  0.084  133.7
 73.25  29.75  8.226  0.076  105.3
 73.75  29.75  8.221  0.117   95.7
 74.25  29.75  8.213  0.141   96.7
 74.75  29.75  8.211  0.122   96.0
 75.25  29.75  8.218  0.073   93.3
 75.75  29.75  8.269  0.059   66.6
 76.25  29.75  8.313  0.118   44.9
 76.75  29.75  8.318  0.120   38.9
 77.25  29.75  8.336  0.052   48.4
 77.75  29.75  8.279  0.015    7.5
 78.25  29.75  8.244  0.036  158.7
 78.75  29.75  8.248  0.056  152.0
 79.25  29.75  8.309  0.083  149.1
 79.75  29.75  8.358  0.086  145.0
 80.25  29.75  8.370  0.063  126.3
 80.75  29.75  8.334  0.082   83.6
 81.25  29.75  8.311  0.147   76.1
 81.75  29.75  8.334  0.186   79.0
 82.25  29.75  8.353  0.212   82.7
 82.75  29.75  8.347  0.200   84.5
 83.25  29.75  8.304  0.142   87.9
 83.75  29.75  8.251  0.081   88.4
 84.25  29.75  8.190  0.038  101.9
 84.75  29.75  8.179  0.064  125.3
 85.25  29.75  8.178  0.094  129.6
 85.75  29.75  8.159  0.105  130.6
 86.25  29.75  8.159  0.084  125.2
 86.75  29.75  8.184  0.050  118.0
 87.25  29.75  8.225  0.009   93.9
 87.75  29.75  8.267  0.022   14.1
 88.25  29.75  8.263  0.059  160.1
 88.75  29.75  8.269  0.091  157.9
 89.25  29.75  8.243  0.116  159.6
 89.75  29.75  8.199  0.129  160.2
 90.25  29.75  8.148  0.130  163.3
 90.75  29.75  8.103  0.135  168.2
 91.25  29.75  8.087  0.116  172.9
 91.75  29.75  8.118  0.080    6.4
 92.25  29.75  8.138  0.105   19.3
 92.75  29.75  8.169  0.130   21.5
 93.25  29.75  8.211  0.138   17.5
 93.75  29.75  8.255  0.123    8.9
 94.25  29.75  8.291  0.108  174.0
 94.75  29.75  8.308  0.105  156.3
 95.25  29.75  8.282  0.114  140.8
 95.75  29.75  8.236  0.129  133.1
 96.25  29.75  8.193  0.143  130.7
 96.75  29.75  8.157  0.156  130.1
 97.25  29.75  8.135  0.158  127.9
 97.75  29.75  8.101  0.132  128.0
 98.25  29.75  8.084  0.085  131.2
 98.75  29.75  8.113  0.060  141.2
 99.25  29.75  8.175  0.079  154.9
 99.75  29.75  8.238  0.117  157.7
100.25  29.75  8.214  0.159  156.9
100.75  29.75  8.110  0.180  153.2
101.25  29.75  7.979  0.159  144.6
101.75  29.75  7.850  0.142  131.5
102.25  29.75  7.793  0.128  120.5
102.75  29.75  7.902  0.084   93.9
103.25  29.75  8.111  0.093   70.2
103.75  29.75  8.267  0.067   39.4
104.25  29.75  8.311  0.136    9.3
104.75  29.75  8.316  0.180  177.5
105.25  29.75  8.258  0.218  170.4
105.75  29.75  8.217  0.211  160.5
106.25  29.75  8.228  0.180  148.4
106.75  29.75  8.250  0.120  136.5
107.25  29.75  8.259  0.078  111.0
107.75  29.75  8.246  0.118   86.3
108.25  29.75  8.217  0.182   78.1
108.75  29.75  8.178  0.223   75.4
109.25  29.75  8.123  0.222   75.9
109.75  29.75  8.065  0.180   76.4
 13.25  30.25  8.098  0.001   59.9
 13.75  30.25  8.099  0.001   62.0
 14.75  30.25  8.108  0.016   13.3
 15.25  30.25  8.112  0.025   12.0
 15.75  30.25  8.118  0.031   11.0
 16.25  30.25  8.127  0.038   10.1
 16.75  30.25  8.132  0.039   11.6
 17.25  30.25  8.136  0.035   16.1
 17.75  30.25  8.136  0.029   22.0
 18.25  30.25  8.129  0.023   22.7
 18.75  30.25  8.118  0.021   14.0
 19.25  30.25  8.115  0.022   10.3
 19.75  30.25  8.116  0.023    9.4
 20.25  30.25  8.115  0.025   12.9
 20.75  30.25  8.112  0.027   15.3
 21.25  30.25  8.113  0.034   15.5
 21.75  30.25  8.118  0.030   18.7
 22.25  30.25  8.119  0.020   23.7
 22.75  30.25  8.125  0.027   26.7
 23.25  30.25  8.132  0.029   28.0
 23.75  30.25  8.147  0.030   28.9
 24.25  30.25  8.171  0.030   30.7
 24.75  30.25  8.188  0.025   33.1
 25.25  30.25  8.194  0.013   35.1
 25.75  30.25  8.187  0.003  111.2
 26.25  30.25  8.180  0.029  116.5
 26.75  30.25  8.166  0.061  124.1
 27.25  30.25  8.160  0.088  128.0
 27.75  30.25  8.144  0.095  131.0
 28.25  30.25  8.136  0.093  129.2
 28.75  30.25  8.126  0.083  124.6
 29.25  30.25  8.117  0.075  119.0
 29.75  30.25  8.093  0.055  110.0
 30.25  30.25  8.073  0.042   98.4
 30.75  30.25  8.048  0.027   81.6
 31.25  30.25  8.039  0.018   70.4
 31.75  30.25  8.032  0.008   59.1
 32.25  30.25  8.016  0.017   61.8
 32.75  30.25  8.003  0.037   76.1
 33.25  30.25  7.989  0.072   83.8
 33.75  30.25  7.952  0.102   82.8
 34.25  30.25  7.914  0.093   79.3
 34.75  30.25  7.874  0.071   66.9
 35.25  30.25  7.894  0.126   67.3
 35.75  30.25  7.917  0.130   76.8
 36.25  30.25  7.965  0.111   82.0
 36.75  30.25  8.034  0.070   80.0
 37.25  30.25  8.085  0.025   66.0
 37.75  30.25  8.111  0.039    4.2
 38.25  30.25  8.118  0.083  178.7
 38.75  30.25  8.117  0.114  178.2
 39.25  30.25  8.115  0.123  178.2
 39.75  30.25  8.122  0.109  177.4
 40.25  30.25  8.142  0.081  175.9
 40.75  30.25  8.172  0.050  176.3
 41.25  30.25  8.188  0.031   12.2
 41.75  30.25  8.193  0.043   31.2
 42.25  30.25  8.206  0.056   36.1
 42.75  30.25  8.214  0.065   28.6
 43.25  30.25  8.213  0.080   16.1
 43.75  30.25  8.210  0.101    7.6
 44.25  30.25  8.195  0.132    1.3
 44.75  30.25  8.180  0.159  176.5
 45.25  30.25  8.180  0.169  172.7
 45.75  30.25  8.186  0.158  169.0
 46.25  30.25  8.163  0.141  164.9
 46.75  30.25  8.092  0.136  160.2
 47.25  30.25  7.979  0.130  159.7
 47.75  30.25  7.889  0.127  153.1
 48.25  30.25  7.871  0.159  141.0
 48.75  30.25  7.921  0.181  133.9
 49.25  30.25  8.001  0.184  129.7
 49.75  30.25  8.076  0.133  127.8
 50.25  30.25  8.130  0.054  129.2
 50.75  30.25  8.207  0.032  111.2
 51.25  30.25  8.230  0.051  143.6
 51.75  30.25  8.222  0.080  176.2
 52.25  30.25  8.160  0.086   13.1
 52.75  30.25  8.028  0.111  156.8
 53.25  30.25  7.973  0.203  138.5
 53.75  30.25  7.953  0.191  142.4
 54.25  30.25  8.023  0.110  165.7
 54.75  30.25  8.063  0.159   10.7
 55.25  30.25  8.064  0.174   15.8
 55.75  30.25  8.020  0.119    6.3
 56.25  30.25  7.881  0.103  166.3
 56.75  30.25  7.799  0.016  148.1
 57.25  30.25  7.835  0.077   64.6
 57.75  30.25  7.916  0.161   55.3
 58.25  30.25  7.979  0.174   48.5
 58.75  30.25  8.016  0.133   38.6
 59.25  30.25  8.066  0.087   23.1
 59.75  30.25  8.088  0.083  171.8
 60.25  30.25  8.108  0.099  157.0
 60.75  30.25  8.120  0.067  148.8
 61.25  30.25  8.113  0.013  124.3
 61.75  30.25  8.088  0.046   63.7
 62.25  30.25  8.057  0.080   59.0
 62.75  30.25  8.032  0.093   56.5
 63.25  30.25  8.013  0.097   52.0
 63.75  30.25  8.002  0.102   45.9
 64.25  30.25  7.996  0.128   39.9
 64.75  30.25  8.018  0.164   37.9
 65.25  30.25  8.061  0.190   40.2
 65.75  30.25  8.107  0.204   45.5
 66.25  30.25  8.133  0.218   52.5
 66.75  30.25  8.154  0.222   58.8
 67.25  30.25  8.180  0.186   63.3
 67.75  30.25  8.176  0.114   61.9
 68.25  30.25  8.158  0.067   54.6
 68.75  30.25  8.148  0.001  123.7
 69.25  30.25  8.176  0.088  145.4
 69.75  30.25  8.214  0.167  143.8
 70.25  30.25  8.254  0.206  143.8
 70.75  30.25  8.297  0.193  144.4
 71.25  30.25  8.321  0.157  145.1
 71.75  30.25  8.304  0.136  148.2
 72.25  30.25  8.284  0.104  149.3
 72.75  30.25  8.276  0.048  122.5
 73.25  30.25  8.259  0.109   91.7
 73.75  30.25  8.261  0.191   89.4
 74.25  30.25  8.239  0.220   90.8
 74.75  30.25  8.219  0.193   89.2
 75.25  30.25  8.235  0.148   87.2
 75.75  30.25  8.270  0.093   79.5
 76.25  30.25  8.306  0.109   49.8
 76.75  30.25  8.349  0.115   46.6
 77.25  30.25  8.328  0.068   52.5
 77.75  30.25  8.250  0.023   34.6
 78.25  30.25  8.190  0.045   12.1
 78.75  30.25  8.197  0.069    0.5
 79.25  30.25  8.250  0.099  171.4
 79.75  30.25  8.322  0.099  159.7
 80.25  30.25  8.357  0.071  136.8
 80.75  30.25  8.303  0.052   99.3
 81.25  30.25  8.245  0.096   76.4
 81.75  30.25  8.273  0.121   78.2
 82.25  30.25  8.307  0.132   84.2
 82.75  30.25  8.314  0.123   92.5
 83.25  30.25  8.259  0.084  103.5
 83.75  30.25  8.198  0.034  114.4
 84.25  30.25  8.168  0.043  139.5
 84.75  30.25  8.167  0.081  143.8
 85.25  30.25  8.171  0.096  145.6
 85.75  30.25  8.166  0.093  148.9
 86.25  30.25  8.153  0.078  151.3
 86.75  30.25  8.149  0.047  161.6
 87.25  30.25  8.146  0.044    6.9
 87.75  30.25  8.169  0.054    7.8
 88.25  30.25  8.192  0.081  169.1
 88.75  30.25  8.189  0.117  157.9
 89.25  30.25  8.174  0.132  158.5
 89.75  30.25  8.145  0.150  161.9
 90.25  30.25  8.112  0.171  166.1
 90.75  30.25  8.088  0.175  168.2
 91.25  30.25  8.093  0.142  170.6
 91.75  30.25  8.127  0.097  178.4
 92.25  30.25  8.159  0.107   12.3
 92.75  30.25  8.198  0.130   16.9
 93.25  30.25  8.234  0.142   13.9
 93.75  30.25  8.271  0.137    5.5
 94.25  30.25  8.294  0.128  173.8
 94.75  30.25  8.295  0.120  159.6
 95.25  30.25  8.273  0.127  146.1
 95.75  30.25  8.237  0.138  138.8
 96.25  30.25  8.210  0.146  136.3
 96.75  30.25  8.190  0.154  136.4
 97.25  30.25  8.177  0.147  137.1
 97.75  30.25  8.149  0.122  141.5
 98.25  30.25  8.130  0.101  152.2
 98.75  30.25  8.150  0.109  162.5
 99.25  30.25  8.208  0.141  165.2
 99.75  30.25  8.264  0.175  162.4
100.25  30.25  8.246  0.205  160.6
100.75  30.25  8.154  0.209  158.5
101.25  30.25  8.046  0.164  149.9
101.75  30.25  7.919  0.114  129.4
102.25  30.25  7.883  0.133  101.5
102.75  30.25  8.006  0.162   81.9
103.25  30.25  8.283  0.217   67.8
103.75  30.25  8.422  0.168   54.5
104.25  30.25  8.416  0.142   28.0
104.75  30.25  8.375  0.148    5.7
105.25  30.25  8.289  0.178  171.9
105.75  30.25  8.248  0.171  156.6
106.25  30.25  8.245  0.156  140.8
106.75  30.25  8.251  0.126  125.1
107.25  30.25  8.241  0.119  103.5
107.75  30.25  8.214  0.160   86.9
108.25  30.25  8.173  0.212   80.2
108.75  30.25  8.125  0.233   78.7
109.25  30.25  8.079  0.207   80.4
109.75  30.25  8.034  0.149   83.2
 12.25  30.75  8.100  0.001   28.4
 12.75  30.75  8.098  0.001   46.0
 13.25  30.75  8.098  0.001   51.4
 14.75  30.75  8.108  0.027    9.6
 15.25  30.75  8.115  0.044   10.6
 15.75  30.75  8.121  0.052   11.3
 16.25  30.75  8.128  0.054   13.4
 16.75  30.75  8.130  0.049   17.1
 17.25  30.75  8.130  0.041   24.0
 17.75  30.75  8.131  0.038   35.3
 18.25  30.75  8.130  0.038   43.6
 18.75  30.75  8.120  0.031   43.4
 19.25  30.75  8.113  0.022   34.8
 19.75  30.75  8.111  0.018   17.0
 20.25  30.75  8.111  0.027   19.1
 20.75  30.75  8.112  0.037   19.5
 21.25  30.75  8.112  0.043   17.3
 21.75  30.75  8.112  0.033   17.7
 22.75  30.75  8.119  0.032   25.6
 23.25  30.75  8.135  0.044   27.4
 23.75  30.75  8.157  0.046   28.0
 24.25  30.75  8.181  0.041   26.3
 24.75  30.75  8.198  0.029   17.9
 25.25  30.75  8.196  0.026    2.9
 25.75  30.75  8.188  0.026  160.8
 26.25  30.75  8.191  0.043  133.8
 26.75  30.75  8.188  0.093  130.8
 27.25  30.75  8.176  0.132  132.3
 27.75  30.75  8.153  0.143  134.3
 28.25  30.75  8.142  0.135  132.9
 28.75  30.75  8.134  0.117  128.0
 29.25  30.75  8.122  0.096  123.3
 29.75  30.75  8.107  0.068  120.0
 30.25  30.75  8.091  0.039  120.0
 30.75  30.75  8.070  0.014  140.4
 31.25  30.75  8.075  0.005  130.1
 31.75  30.75  8.064  0.009   26.3
 32.25  30.75  8.044  0.024   43.8
 32.75  30.75  8.033  0.041   66.2
 33.25  30.75  8.017  0.067   79.1
 33.75  30.75  7.989  0.082   81.0
 34.25  30.75  7.978  0.098   84.7
 34.75  30.75  7.889  0.101   68.3
 35.25  30.75  7.888  0.153   70.6
 35.75  30.75  7.888  0.162   81.1
 36.25  30.75  7.908  0.145   89.9
 36.75  30.75  7.971  0.097   98.4
 37.25  30.75  8.063  0.039  118.4
 37.75  30.75  8.128  0.063  164.9
 38.25  30.75  8.158  0.117  172.4
 38.75  30.75  8.162  0.146  174.2
 39.25  30.75  8.160  0.150  174.1
 39.75  30.75  8.157  0.130  172.0
 40.25  30.75  8.164  0.098  168.3
 40.75  30.75  8.177  0.065  165.8
 41.25  30.75  8.171  0.034  174.5
 41.75  30.75  8.167  0.029   27.2
 42.25  30.75  8.181  0.045   40.8
 42.75  30.75  8.199  0.053   35.5
 43.25  30.75  8.206  0.056   20.6
 43.75  30.75  8.201  0.066    4.0
 44.25  30.75  8.190  0.094  174.7
 44.75  30.75  8.179  0.122  168.9
 45.25  30.75  8.183  0.137  163.5
 45.75  30.75  8.180  0.137  158.3
 46.25  30.75  8.159  0.125  153.4
 46.75  30.75  8.069  0.110  154.9
 47.25  30.75  7.967  0.088  158.6
 47.75  30.75  7.926  0.080  150.2
 48.25  30.75  7.952  0.122  139.7
 48.75  30.75  8.014  0.147  140.5
 49.25  30.75  8.098  0.128  142.9
 49.75  30.75  8.139  0.069  157.8
 50.25  30.75  8.184  0.041   10.8
 50.75  30.75  8.265  0.028   61.2
 51.25  30.75  8.267  0.093  130.8
 51.75  30.75  8.234  0.045  139.5
 52.25  30.75  8.167  0.003   87.0
 52.75  30.75  8.034  0.113  134.2
 53.25  30.75  8.000  0.205  130.6
 53.75  30.75  7.990  0.148  132.4
 54.25  30.75  8.024  0.009   28.3
 54.75  30.75  8.047  0.117   27.6
 55.25  30.75  8.091  0.151   19.6
 55.75  30.75  8.093  0.110    6.5
 56.25  30.75  8.010  0.069  168.3
 56.75  30.75  7.969  0.076   98.7
 57.25  30.75  7.992  0.146   81.3
 57.75  30.75  8.002  0.187   67.1
 58.25  30.75  8.001  0.169   56.6
 58.75  30.75  8.015  0.124   46.3
 59.25  30.75  8.015  0.067   23.8
 59.75  30.75  8.027  0.077  169.1
 60.25  30.75  8.032  0.102  162.8
 60.75  30.75  8.045  0.075  165.3
 61.25  30.75  8.055  0.040    8.9
 61.75  30.75  8.067  0.062   39.0
 62.25  30.75  8.073  0.089   44.8
 62.75  30.75  8.062  0.101   45.9
 63.25  30.75  8.041  0.102   46.0
 63.75  30.75  8.014  0.105   43.9
 64.25  30.75  7.995  0.114   42.0
 64.75  30.75  8.003  0.121   42.8
 65.25  30.75  8.026  0.138   48.4
 65.75  30.75  8.044  0.172   54.5
 66.25  30.75  8.052  0.214   57.9
 66.75  30.75  8.066  0.242   59.8
 67.25  30.75  8.103  0.239   60.7
 67.75  30.75  8.075  0.185   56.3
