station,longitude (°),latitude (°),phi (°),dt (sec)
KH.KHV,58.63,34.14,-9,1.2
KH.NJV,59.5,36.28,37,0.5
KH.QUV,58.48,37.04,60,0.9
KH.SBV,57.68,36.31,-82,1.4
KO.AKDM,42.98,38.33,49,1.1
KO.CUKT,43.61,37.25,56,1.2
KO.GURO,42.03,38.55,35,1
KO.KARO,41.05,39.31,52,1.2
KO.KOPR,41.85,39.99,56,1.2
KO.MLAZ,42.55,39.14,27,1.1
KO.SVAN,41.2,38.15,46,1.2
KO.VANB,43.41,38.51,49,1
KO.VRTB,41.46,39.16,54,1.5
KW.MIB,47.34,29.8,-44,0.7
OM.ASH,56.06,24.68,-23,1.3
OM.BID,58.13,23.52,-7,1.3
OM.SOH,56.53,24.13,29,1.1
UE.GHWR,52.88,23.96,54,1.3
UE.MZWR,53.88,23.76,44,0.9
UE.SAK,50.54,25.98,-20,0.6
UE.SLWR,51.69,24.07,28,0.8
UE.UMZA,55.16,22.71,14,0.7
XG.AHLT,42.48,38.75,53,1.4
XG.BTLS,42.12,38.43,27,1.1
XG.BYKN,41.78,38.17,44,1.1
XG.CMCY,43.2,39.92,68,1.3
XG.DGSU,42.73,39.13,51,1.5
XG.HAMR,42.99,39.61,77,1.8
XG.HINS,41.7,39.35,52,1.3
XG.HRSN,42.29,39.95,34,1.2
XG.KTLN,41.71,37.95,30,0.9
XG.KYPR,41.17,37.56,58,1.1
XG.MUSH,41.48,38.76,45,1.5
XG.SILN,41.04,38.14,47,1.2
XI.AFIF,43.04,23.93,-5,1.4
XI.HALM,44.32,22.85,4,1
XI.RAYN,45.5,23.52,11,1.1
XI.RIYD,46.64,24.72,31,0.6
XI.UQSK,42.36,25.79,-1,1.5
XY.J3,51.39,36.64,-56,0.8
XY.K3,51.78,36.38,88,1.5
XY.N1,51.91,36.44,83,0.8
XY.N6,51.56,36.23,50,0.8
XY.N8,51.31,36,61,0.7
XY.T1,52.12,36.33,-59,1.4
XY.T5,52.02,36.19,73,1.1
XY.T6,52.29,35.98,82,0.6
XY.T7,52.16,35.88,79,0.7
YB.A1,51.31,29.44,6,1.4
YB.A2,51.78,29.79,53,0.5
YB.A3,51.86,29.35,-14,0.7
YB.B1,52.58,29.84,-31,0.8
YB.B2,52.5,30.19,-4,1.2
YB.B3,53.06,30.13,17,1.2
YB.C2,53.81,32.15,-17,1.3
YB.D1,54.51,32.04,-32,0.7
