Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
15-Apr-14,-53.527,8.704,12,6.9,-78.6080566,2.66,Yes,M06,33.95809,46.475,,,
12-Oct-13,10.905,-62.315,63,6,13.74035944,3.74,Yes,M06,33.95809,46.475,,,‡
23-Mar-14,-19.702,-70.87,21,6.2,-0.606232335,1.24,Yes,M06,33.95809,46.475,,,
19-Apr-14,-6.679,155.085,24,6.6,-44.8521535,1.54,No,M07,34.0058,46.5731,144,1.27,
7-Feb-14,-15.069,167.372,122,6.5,-44.20603852,1.3,No,M07,34.0058,46.5731,144,1.27,
1-May-14,-21.454,170.355,106,6.6,-16.97995761,0.96,No,M07,34.0058,46.5731,144,1.27,
11-Apr-14,-20.748,-70.724,17,6,-7.705566727,2.84,Yes,M07,34.0058,46.5731,144,1.27,
18-Feb-14,14.668,-58.927,15,6.5,-3.179389372,0.42,Yes,M07,34.0058,46.5731,144,1.27,
12-Oct-13,10.905,-62.315,63,6,-66.19328376,1.52,Yes,M07,34.0058,46.5731,144,1.27,‡
24-Aug-14,-14.5976,-73.5701,101,6.8,-77.70464892,1.68,Yes,M07,34.0058,46.5731,144,1.27,
15-Apr-14,-53.527,8.704,12,6.9,-46.55673908,0.04,Yes,M07,34.0058,46.5731,144,1.27,
1-Jan-14,-13.863,167.249,187,6.5,0.636404508,3.78,Yes,M07,34.0058,46.5731,144,1.27,†
19-Apr-14,-6.679,155.085,24,6.6,-60.86170174,1.08,No,M08,34.1152,46.6211,141,1.39,
1-Jan-14,-13.863,167.249,187,6.5,-31.4049347,1.42,No,M08,34.1152,46.6211,141,1.39,†
1-May-14,-21.454,170.355,106,6.6,-25.0431229,1.68,No,M08,34.1152,46.6211,141,1.39,
13-Jan-14,19.043,-66.81,20,6.4,23.00911031,1.74,Yes,M08,34.1152,46.6211,141,1.39,
