Station lat lon FD FD_std dt dt_std number
LNY03x_SA   25.380   37.850  -17.656   20.028    1.663    0.125         15
LNY04x_SA   25.270   37.650  -15.558   16.245    1.623    0.138         15
LNY05x_SA   25.050   37.700   -1.464    7.474    1.240    0.037         67
LNY06x_SA   25.210   37.780   -5.052   12.091    1.128    0.040         25
LNY07x_SA   25.130   37.570   -3.476    8.143    1.206    0.025         59
LNY08x_SA   25.030   37.850   -4.069    9.617    1.071    0.030         48
LNY09x_SA   25.400   37.660  -10.970    9.465    1.057    0.039         38
LNY10x_SA   25.270   37.860  -13.721   11.738    1.041    0.059         27
LNY11x_SA   25.320   37.770   -9.663    7.253    1.148    0.074         21
LNY12x_SA   25.270   37.770    0.737   12.215    1.138    0.041         32
LNY13x_SA   25.170   37.630   -2.529    9.173    1.234    0.048         29
LNY14x_SA   25.250   37.770  -10.924    8.218    1.043    0.059         20
LNY15x_SA   25.260   37.800    7.272   18.914    1.444    0.080         24
LNY16x_SA   25.350   37.600    0.504    9.554    1.417    0.088         23
LNY17x_SA   25.240   37.800    0.219   11.067    1.245    0.062         22
LNYSxx_SA   25.080   37.940   -0.504   10.879    1.045    0.037         39
LTHSxx_SA   20.280   40.410    1.659    9.553    1.051    0.037         36
LYLSxx_SA   22.040   47.240   17.229   19.225    0.907    0.055         22
MDRK2x_SA   22.290   40.260   -1.979   11.065    1.100    0.101         14
MDRSxx_SA   22.090   40.000   -6.834   14.231    1.047    0.055         19
MDYOxx_YR   17.460   53.360  -29.000    7.500    0.750    0.120          1
MJMSxx_SA   26.050   45.660  -13.043   10.652    1.218    0.172         11
MKHLxx_SA   17.360   42.680   -2.000   11.000    1.100    0.300          1
MQLSxx_SA   26.630   47.450  -20.004    7.782    0.772    0.045         25
MRNIxx_GE   33.120   35.390    0.561    5.788    1.383    0.119          6
MSTRxx_SA   23.230   38.960  -16.000    3.000    1.400    0.200          1
MUKAxx_XW   14.490   49.040   78.676   12.327    1.171    0.071          7
MURBAx_SA   25.410   38.250   13.000    9.500    1.050    0.200          1
MWLHSx_SA   27.750   35.510    7.143   13.645    1.317    0.052         21
NAMSxx_SA   19.170   42.200   -4.755   10.135    1.190    0.050         35
NARARx_SA   31.120   40.750  -17.939   20.182    0.862    0.094          4
NDEBAx_SA   27.470   35.650   14.297   11.221    1.233    0.099         12
NHRDxx_SA   24.720   49.010   10.908   10.132    1.296    0.062         28
NJRNSx_SA   17.650   44.190  -16.895   10.302    1.236    0.050         47
NRYSxx_SA   27.080   49.160  -53.723   28.418    0.713    0.041         12
NSAFSx_SA   23.490   38.820   -4.025   10.536    1.214    0.151          7
NUBAxx_SA   22.880   39.300   43.000   17.000    0.750    0.280          1
OLASxx_SA   26.250   37.630   -8.197   14.639    1.055    0.066         19
OMRNxx_XW   18.440   55.300  -14.503    3.845    0.938    0.087          4
QLABSx_SA   27.860   37.930   -4.690   10.543    1.304    0.047         24
QLBSxx_SA   28.650   37.590   -8.667    1.247    1.183    0.017          3
QNF01x_SA   19.390   41.280   -2.718   11.661    0.997    0.081         19
QNF02x_SA   19.060   41.490   -9.137   19.861    1.003    0.072         18
QNFDSx_SA   19.800   40.940   -9.790   10.373    1.173    0.100         11
QREATx_SA   31.500   37.570    6.111   26.653    1.215    0.134         10
QSMSxx_SA   26.670   42.690   -2.416   15.084    1.170    0.096         15
QYSMxx_SA   27.850   46.880   21.418   10.422    0.986    0.083         11
RHT01x_SA   24.270   39.810    6.235   10.332    1.326    0.062         21
RHT02x_SA   24.480   40.090   -8.047    8.121    1.225    0.058         30
RHT03x_SA   24.250   40.170  -16.326   13.702    1.163    0.058         31
RHT04x_SA   23.990   39.880   -7.101   10.707    0.991    0.047         28
RHT05x_SA   23.910   39.160   -2.110    9.430    1.211    0.057         19
RHT06x_SA   24.380   39.190   -7.924    7.742    1.260    0.052         26
RHT07x_SA   24.670   39.040  -10.885   13.738    1.305    0.067         21
RHT08x_SA   24.710   39.540   -0.772    7.112    1.295    0.074         22
RHT09x_SA   24.780   39.910   -4.070    7.688    1.240    0.046         34
RHT10x_SA   24.580   39.900  -17.442   12.844    1.133    0.159          3
RHT11x_SA   24.920   39.690   -5.820   12.014    1.334    0.033         19
RHT13x_SA   24.210   39.370   -9.202    9.394    1.274    0.062         19
RHT14x_SA   24.390   39.760  -12.785   18.588    1.357    0.102         14
RHT15x_SA   24.170   39.840   -2.552   12.635    1.158    0.073         13
RHT16x_SA   23.470   40.170   -4.112    4.612    1.044    0.060          9
RHWASx_SA   19.070   44.070  -16.848   10.569    1.163    0.055         51
RMAHxx_SA   25.340   46.880  -81.000    3.000    1.150    0.280          1
RQBSxx_SA   27.340   45.960   15.006    8.563    0.846    0.069         25
RSHSxx_SA   28.300   34.800   10.978    4.874    1.839    0.104          9
RYNSxx_SA   21.320   42.850   -1.602   11.698    1.355    0.082         22
S06xxx_XZ   17.620   54.050   35.000    7.500    0.850    0.200          1
SABAxx_XW   18.760   56.640  -29.000   11.500    0.800    0.230          1
SAHLxx_XW   18.900   57.040  -44.782    7.178    0.737    0.128          4
SARARx_SA   30.380   41.940  -13.374   18.867    0.825    0.078         12
SEYUxx_XW   15.930   48.800  -74.000   13.500    1.300    0.450          1
SHA2xx_XW   18.120   55.740   -9.750   20.711    0.867    0.167          3
SHBSxx_SA   21.000   39.680   -7.439   13.707    1.110    0.080         15
SHMSxx_SA   21.450   39.690    3.864   10.291    1.159    0.057         23
SHQREx_SA   27.900   36.170   14.058    8.611    1.033    0.069         12
SHRSxx_SA   21.500   40.200    0.251    6.525    1.175    0.082         10
SLWSxx_SA   24.800   50.640  -28.171   12.486    0.814    0.063         28
SMANxx_SA   26.180   48.060  -22.791   18.643    0.826    0.054         29
SOOOxx_YR   17.080   54.880   59.000   10.500    0.500    0.080          1
SRFHAx_SA   29.030   44.600   64.744    5.051    0.694    0.053          8
SUMJSx_SA   24.750   37.400   -8.222   10.944    1.313    0.118          8
TAMRxx_XW   15.780   48.950  -83.000    9.000    1.300    0.330          1
TAMUxx_XW   17.290   49.930  -81.000   12.500    1.050    0.400          1
TATSxx_SA   19.540   43.480   -8.228    9.391    1.160    0.044         60
TBKSxx_SA   28.230   36.550   11.678    5.866    1.232    0.170         11
TRASxx_SA   25.060   38.570   -6.280   10.611    1.330    0.048         32
TREFxx_SA   31.260   39.360   -9.574    5.630    1.268    0.110         11
UMJSxx_SA   25.230   37.310   -8.448   13.440    1.282    0.068         11
UOSSxx_II   24.950   56.200  -25.517    9.751    0.866    0.026         31
URD01x_SA   26.950   37.660  -22.500    8.564    0.800    0.300          2
URD02x_SA   26.620   37.860    3.020    5.903    1.133    0.083          3
URD03x_SA   26.670   37.450    3.000    8.053    1.275    0.225          2
URD04x_SA   27.080   37.260  -10.000   14.500    0.650    0.250          1
URD06x_SA   27.450   36.760    1.243    3.493    1.125    0.189          4
URD10x_SA   28.170   37.100    4.000    5.013    1.200    0.200          2
URD12x_SA   27.760   37.060   14.000    1.000    1.575    0.475          2
URD13x_SA   27.540   37.480   -3.310   14.524    1.350    0.362          3
URD14x_SA   27.440   37.740   14.000    2.001    1.600    0.250          2
WAYMxx_XW   17.920   55.640   19.000    4.088    0.883    0.073          3
WELAxx_SA   31.780   38.910   -2.075   18.501    0.979    0.126          7
WJHSxx_SA   26.730   36.390   -4.057    9.342    1.320    0.072          5
WRFHAx_SA   29.580   43.110  -21.000   32.285    0.825    0.075          2
WTBKSx_SA   28.080   35.910   14.770    6.952    1.155    0.073         20
YNBSxx_SA   24.340   37.990  -10.365    8.147    1.065    0.040         20
YOBSxx_SA   24.360   38.740   -3.690    8.306    1.303    0.058         19
